application_number,funding_year,state,form_version,window_status,status,category,application_name,address1,city,zipcode,entity_number,fcc_number,applicant_type,enrollment,nslp_count,nslp_percent,locale,request_amount,congress_district
201012827,2020,OH,Original,In Window,Certified,Category1,Jennings Local School District,1 Musketeer Drive,Fort Jennings,45844,130129,11964848,School District,364,51,14.00%,Rural,"$11,400.00",Congressional District 5
201015732,2020,OH,Original,In Window,Certified,Category1,Ayersville Local School Dist,28046 Watson Rd,Defiance,43512,129266,11653169,School District,752,166,22.00%,Rural,"$13,757.40",Congressional District 5
201001218,2020,OH,Original,In Window,Certified,Category1,Breakthrough Charter Schools,3615 Superior Ave,Cleveland,44114,16063612,24505000,School District,3816,3155,83.00%,Urban,"$127,872.00",Congressional District 11
201009079,2020,OH,Original,In Window,Certified,Category1,Northeastern Local School Dist,1414 Bowman Rd,Springfield,45502,129992,2992204,School District,2993,833,28.00%,Urban,"$38,514.00",Congressional District 8
201016079,2020,OH,Original,In Window,Certified,Category1,Washington Local School Dist,3505 W Lincolnshire Blvd,Toledo,43606,129311,9956046,School District,7028,3461,49.00%,Urban,"$42,249.31",Congressional District 5
201016381,2020,OH,Original,In Window,Certified,Category1,Western Reserve Board Of Education,3765 Rt 20 E,Collins,44826,129781,2914224,School District,935,423,45.00%,Rural,"$23,184.00",Congressional District 4
201016219,2020,OH,Original,In Window,Certified,Category1,Campbell Local Schools,280 6th St,Campbell,44405,129582,12192290,School District,1063,1063,100.00%,Urban,"$37,974.31",Congressional District 13
201008293,2020,OH,Original,In Window,Certified,Category1,Loveland City School District,757 S Lebanon Rd,Loveland,45140,129851,9795428,School District,4589,542,12.00%,Urban,"$28,619.14",Congressional District 2
201012289,2020,OH,Original,In Window,Certified,Category1,Perkins Local School District,3714 Campbell St. Suite B,Sandusky,44870,129770,2916153,School District,1992,494,25.00%,Urban,"$36,043.92",Congressional District 9
201009861,2020,OH,Original,In Window,Certified,Category1,Wyoming City School District,420 Springfield Pike,Wyoming,45215,129875,11696101,School District,1949,123,6.00%,Urban,"$11,551.01",Congressional District 2
201012360,2020,OH,Original,In Window,Certified,Category1,Williamsburg Local Sd,549-A W Main St,Williamsburg,45176,129864,2992980,School District,943,297,31.00%,Urban,"$9,115.98",Congressional District 2
201016706,2020,OH,Original,In Window,Certified,Category1,Springfield Local School Dist,11419 Youngstown Pittsburgh Rd,New Middletown,44442,129611,2922508,School District,1005,323,32.00%,Rural,"$23,226.98",Congressional District 6
201016853,2020,OH,Original,In Window,Certified,Category1,Western Reserve Board Of Education,3765 Rt 20 E,Collins,44826,129781,2914224,School District,935,423,45.00%,Rural,"$23,184.00",Congressional District 4
201016701,2020,OH,Original,In Window,Certified,Category1,South Range Local Schools,11300 Columbiana-Canfield Rd.,Canfield,44406,129619,13989868,School District,1295,228,18.00%,Rural,"$24,251.04",Congressional District 6
201016777,2020,OH,Original,In Window,Certified,Category1,Norwalk Catholic School District,93 East Main Street,Norwalk,44857,222377,26044446,School District,701,146,21.00%,Rural,$923.33,Congressional District 4
201015358,2020,OH,Original,In Window,Certified,Category1,Waynesfield-Goshen School Dist,500 N Westminster St,Waynesfield,45896,130177,7224991,School District,393,105,27.00%,Rural,"$11,037.60",Congressional District 4
201016730,2020,OH,Original,In Window,Certified,Category1,Norwalk Catholic School District,93 East Main Street,Norwalk,44857,222377,26044446,School District,701,146,21.00%,Rural,"$23,099.98",Congressional District 4
201015601,2020,OH,Original,In Window,Certified,Category1,Howland Local School District,8200 South St Se,Warren,44484,129630,12235818,School District,2682,923,34.00%,Urban,"$36,861.00",Congressional District 13
201009126,2020,OH,Original,In Window,Certified,Category1,Tolles Career And Technical Center,7877 Us Highway 42 S,Plain City,43064,129104,6563852,School District,597,152,25.00%,Rural,"$11,448.00",Congressional District 15
201016703,2020,OH,Original,In Window,Certified,Category1,Sebring Local School District,510 North 14th Street,Sebring,44672,129688,14081152,School District,503,408,81.00%,Urban,"$10,693.94",Congressional District 6
201012225,2020,OH,Original,In Window,Certified,Category1,Indian Lake School District,6210 State Route 235 N,Lewistown,43333,129206,6857833,School District,1519,635,42.00%,Rural,"$18,211.20",Congressional District 4
201009107,2020,OH,Original,In Window,Certified,Category1,Southwest Local School Dist,230 S Elm St,Harrison,45030,129807,2991826,School District,4221,1488,35.00%,Rural,"$45,421.99",Congressional District 1
201014114,2020,OH,Original,In Window,Certified,Category1,Mayfield City School District,1101 S.O.M. Center Road,Mayfield Heights,44124,129515,6709059,School District,4268,968,23.00%,Urban,"$40,693.98",Congressional District 14
201013173,2020,OH,Original,In Window,Certified,Category1,Liberty Local School District,4115 Shady Rd,Youngstown,44505,129635,2913903,School District,1402,899,64.00%,Urban,"$26,174.40",Congressional District 13
201013750,2020,OH,Original,In Window,Certified,Category1,Liberty Local School District,4115 Shady Rd,Youngstown,44505,129635,2913903,School District,1402,899,64.00%,Urban,$655.10,Congressional District 13
201017468,2020,OH,Original,In Window,Certified,Category1,Morgan Local School District,65 West Union Avenue,Mcconnelsville,43756,129341,11676251,School District,1813,1205,66.00%,Rural,"$82,982.40",Congressional District 15
201016723,2020,OH,Original,In Window,Certified,Category1,Montgomery Co Ed Service Cent,200 S Keowee St,Dayton,45402,129978,11913126,School District,478,345,72.00%,Urban,"$51,264.00",Congressional District 10
201012271,2020,OH,Original,In Window,Certified,Category1,North Central Local Sch Dist,400 Baubice Street,Pioneer,43554,129296,11685856,School District,624,226,36.00%,Rural,"$18,790.13",Congressional District 5
201017653,2020,OH,Original,In Window,Certified,Category1,Nordonia Hills City Schools,9370 Olde 8 Rd,Northfield,44067,129444,2923621,School District,3669,553,15.00%,Urban,"$38,256.00",Congressional District 14
201017534,2020,OH,Original,In Window,Certified,Category1,Jackson City School District,450 Vaughn St,Jackson,45640,130028,11979101,School District,2474,1159,47.00%,Rural,"$7,627.20",Congressional District 6
201009531,2020,OH,Original,In Window,Certified,Category1,Springfield City School Dist,1500 W Jefferson St,Springfield,45506,129994,11732245,School District,7298,6694,92.00%,Urban,"$38,731.82",Congressional District 8
201016700,2020,OH,Original,In Window,Certified,Category1,Western Reserve Board Of Education,13850 W Akron Canfield Rd,Berlin Center,44401,129578,14015739,School District,646,138,21.00%,Rural,"$15,943.18",Congressional District 6
201015795,2020,OH,Original,In Window,Certified,Category1,Newcomerstown School District,702 S River St,Newcomerstown,43832,129361,2912921,School District,991,563,57.00%,Rural,"$24,028.80",Congressional District 6
201012179,2020,OH,Original,In Window,Certified,Category1,Berne Union School District,506 N Main St,Sugar Grove,43155,129152,2996395,School District,834,386,46.00%,Rural,"$15,136.80",Congressional District 15
201009339,2020,OH,Original,In Window,Certified,Category1,Zane Trace Local School Dist,946 State Route 180,Chillicothe,45601,130005,9340589,School District,1248,550,44.00%,Rural,"$16,036.61",Congressional District 15
201010415,2020,OH,Original,In Window,Certified,Category1,Gahanna-Jefferson Cty Sch Dist,160 S Hamilton Rd,Gahanna,43230,129170,2995892,School District,7849,1816,23.00%,Urban,"$23,786.34",Congressional District 3
201017895,2020,OH,Original,In Window,Certified,Category1,Northwest Local School Dist,800 Mohawk Dr,Mc Dermott,45652,130035,12225645,School District,1366,911,67.00%,Rural,"$18,960.00",Congressional District 2
201014740,2020,OH,Original,In Window,Certified,Category1,Clermont Northeastern District,2792 Us 50,Batavia,45103,129829,8873077,School District,1440,463,32.00%,Rural,"$15,631.20",Congressional District 2
201015273,2020,OH,Original,In Window,Certified,Category1,Maplewood Local School Dist,2414 Greenville Rd,Cortland,44410,129589,7941099,School District,706,262,37.00%,Rural,"$17,875.20",Congressional District 14
201009352,2020,OH,Original,In Window,Certified,Category1,West Muskingum School District,4880 West Pike,Zanesville,43701,129324,11786159,School District,1518,658,43.00%,Rural,"$40,017.60",Congressional District 12
201017525,2020,OH,Original,In Window,Certified,Category1,St Henry Cons Local Schools,391 E Columbus St,Saint Henry,45883,130162,11925138,School District,938,93,10.00%,Rural,"$8,700.00",Congressional District 8
201018514,2020,OH,Original,In Window,Certified,Category1,Education Alternatives Bp Main,5445 Smith Road,Brook Park,44142,16056891,21604616,School District,405,275,68.00%,Urban,"$215,952.00",Congressional District 9
201001819,2020,OH,Original,In Window,Certified,Category1,Hubbard Exempted Vlg Sch Dist,108 Orchard Avenue,Hubbard,44425,129596,7947443,School District,1918,737,38.00%,Urban,"$23,711.40",Congressional District 13
201018472,2020,OH,Original,In Window,Certified,Category1,Gibsonburg School District,301 S. Sunset Avenue,Gibsonburg,43431,129239,9413808,School District,863,319,37.00%,Rural,"$26,124.00",Congressional District 4
201017416,2020,OH,Original,In Window,Certified,Category1,Arcanum Butler Local Sch Dist,2011 Trojan Ave,Arcanum,45304,129902,11855699,School District,1008,236,23.00%,Rural,"$9,607.75",Congressional District 8
201018502,2020,OH,Original,In Window,Certified,Category1,Tiffin City School District,244 S Monroe St,Tiffin,44883,129778,4164596,School District,2712,933,34.00%,Rural,"$31,955.40",Congressional District 4
201009823,2020,OH,Original,In Window,Certified,Category1,Liberty Un-Thurston Sch Dist,1108 South Main Street,Baltimore,43105,129123,5755798,School District,1263,343,27.00%,Rural,"$21,783.60",Congressional District 15
201046465,2020,OH,Original,In Window,Certified,Category1,Columbia Local School District,25796 Royalton Rd,Columbia Sta,44028,129415,12940276,School District,903,227,25.00%,Rural,"$15,804.07",Congressional District 7
201018065,2020,OH,Original,In Window,Certified,Category1,Manchester Local School Dist,6075 Manchester Rd,Akron,44319,129575,12032439,School District,1264,316,25.00%,Urban,"$36,660.00",Congressional District 16
201018466,2020,OH,Original,In Window,Certified,Category1,Lowellville K-12 School,52 Rocket Place,Lowellville,44436,129608,11776663,School District,466,217,47.00%,Urban,"$8,798.18",Congressional District 13
201018782,2020,OH,Original,In Window,Certified,Category1,Pandora-Gilboa School District,410 Rocket Ridge,Pandora,45877,130153,11739646,School District,524,109,21.00%,Rural,"$10,440.00",Congressional District 5
201030528,2020,OH,Original,In Window,Certified,Category1,Kenston Local School District,17419 Snyder Rd,Chagrin Falls,44023,129409,11792975,School District,2622,251,10.00%,Urban,"$14,780.50",Congressional District 14
201015531,2020,OH,Original,In Window,Certified,Category1,Summit Academy,2791 Mogadore Rd,Akron,44312,228168,18356956,School District,2425,2381,98.00%,Urban,"$273,834.00",Congressional District 13
201010832,2020,OH,Original,In Window,Certified,Category1,Springfield-Clark Career Technology Center,1901 Selma Rd,Springfield,45505,129996,12141768,School District,683,254,37.00%,Urban,"$5,940.00",Congressional District 8
201012264,2020,OH,Original,In Window,Certified,Category1,Newark City School District,621 Mt. Vernon Rd.,Newark,43055,129096,5919907,School District,6272,3791,60.00%,Urban,"$163,537.54",Congressional District 12
201012357,2020,OH,Original,In Window,Certified,Category1,Washington C.H. City School District,306 Highland Ave,Washingtn C H,43160,129153,6251102,School District,2284,1136,50.00%,Rural,"$49,987.20",Congressional District 10
201016220,2020,OH,Original,In Window,Certified,Category1,Van Wert City School District,205 W Crawford St,Van Wert,45891,130172,5670021,School District,2109,925,44.00%,Rural,"$18,480.00",Congressional District 5
201017528,2020,OH,Original,In Window,Certified,Category1,Clear Fork Valley Sch District,211 School Street,Bellville,44813,129725,2915809,School District,1714,480,28.00%,Rural,"$66,852.00",Congressional District 12
201004167,2020,OH,Original,In Window,Certified,Category1,Ohio Hi-Point J V S D,2280 State Route 540,Bellefontaine,43311,129195,2941565,School District,507,160,32.00%,Rural,"$12,415.68",Congressional District 4
201010386,2020,OH,Original,In Window,Certified,Category1,Clinton Massie School District,2556 Lebanon Rd,Clarksville,45113,129834,2991461,School District,1876,321,17.00%,Rural,"$14,148.00",Congressional District 15
201019350,2020,OH,Original,In Window,Certified,Category1,New Riegel Local School Dist,44 N Perry St,New Riegel,44853,129757,7096795,School District,451,86,19.00%,Rural,"$12,120.00",Congressional District 4
201009688,2020,OH,Original,In Window,Certified,Category1,Central City Ministry Of Toledo (Ccmt),1933 Spielbusch Avenue,Toledo,43604,17003583,25201310,School District,316,301,95.00%,Urban,"$30,527.93",Congressional District 9
201019234,2020,OH,Original,In Window,Certified,Category1,Hancock County Educational Service Center,7746 Cr 140,Findlay,45840,17004608,13706783,School District,12,6,50.00%,Rural,"$13,920.00",Congressional District 5
201012358,2020,OH,Original,In Window,Certified,Category1,Wayne Trace School District,4915 Us Route 127,Haviland,45851,130158,12525994,School District,956,333,35.00%,Rural,"$36,174.60",Congressional District 5
201019874,2020,OH,Original,In Window,Certified,Category1,Ironton City School District,105 South 5th St,Ironton,45638,130021,12749529,School District,1472,614,42.00%,Urban,"$20,145.60",Congressional District 6
201019905,2020,OH,Original,In Window,Certified,Category1,Lynchburg-Clay School District,Po Box 515,Lynchburg,45142,129852,11712122,School District,1203,510,42.00%,Rural,"$30,063.94",Congressional District 2
201018553,2020,OH,Original,In Window,Certified,Category1,Chippewa Local School District,56 North Portage Street,Doylestown,44230,129535,11767092,School District,1308,366,28.00%,Rural,"$38,409.62",Congressional District 16
201003892,2020,OH,Original,In Window,Certified,Category1,Nelsonville-York School Dist,2 Buckeye Dr,Nelsonville,45764,130082,3020047,School District,1162,1162,100.00%,Rural,"$25,121.66",Congressional District 15
201019798,2020,OH,Original,In Window,Certified,Category1,Dawson-Bryant School District,701 High Street,Coal Grove,45638,130024,11766201,School District,1123,1123,100.00%,Urban,"$46,331.78",Congressional District 6
201019762,2020,OH,Original,In Window,Certified,Category1,South Central Ed Serv Center,522 Glenwood Ave,New Boston,45662,130044,12758074,School District,55,51,93.00%,Urban,"$37,908.00",Congressional District 2
201012210,2020,OH,Original,In Window,Certified,Category1,Fort Loramie School District,575 Greenback Road,Fort Loramie,45845,130130,12080248,School District,857,48,6.00%,Rural,"$10,758.00",Congressional District 4
201020979,2020,OH,Original,In Window,Certified,Category1,Liberty Center School District,100 Tiger Trail,Liberty Center,43532,129280,2917037,School District,1030,277,27.00%,Rural,"$7,284.46",Congressional District 5
201020866,2020,OH,Original,In Window,Certified,Category1,Bexley City School District,348 S Cassingham Rd,Columbus,43209,129165,8075830,School District,2467,220,9.00%,Urban,"$5,280.00",Congressional District 3
201021214,2020,OH,Original,In Window,Certified,Category1,Struthers City School District,99 Euclid Ave,Struthers,44471,129623,10742211,School District,1820,1394,77.00%,Urban,"$63,341.68",Congressional District 13
201003499,2020,OH,Original,In Window,Certified,Category1,Sycamore Comm School District,5959 Hagewa Drive,Cincinnati,45242,129890,2995025,School District,5535,755,14.00%,Urban,"$31,919.19",Congressional District 2
201003990,2020,OH,Original,In Window,Certified,Category1,Wadsworth City School District,524 Broad St,Wadsworth,44281,129568,12175261,School District,5047,1034,20.00%,Urban,"$38,977.26",Congressional District 16
201021040,2020,OH,Original,In Window,Certified,Category1,Bishop Hoffman Catholic Schools,702 Croghan Street,Fremont,43420,17005719,25348657,School District,472,119,25.00%,Rural,"$15,696.00",Congressional District 4
201015532,2020,OH,Original,In Window,Certified,Category1,Fairview Park School District,21620 Mastick Road,Fairview Park,44126,129500,11816931,School District,1904,456,24.00%,Urban,"$18,315.00",Congressional District 16
201009474,2020,OH,Original,In Window,Certified,Category1,Tri-Valley Local School Dist,36 E Muskingum Ave,Dresden,43821,129359,3020468,School District,3278,1175,36.00%,Rural,"$66,435.60",Congressional District 6
201016212,2020,OH,Original,In Window,Certified,Category1,Rootstown Local School Dist,4140 State Route 44,Rootstown,44272,129565,14499016,School District,1170,302,26.00%,Urban,"$5,584.50",Congressional District 16
201020961,2020,OH,Original,In Window,Certified,Category1,Liberty Center School District,100 Tiger Trail,Liberty Center,43532,129280,2917037,School District,1030,277,27.00%,Rural,"$16,353.00",Congressional District 5
201020828,2020,OH,Original,In Window,Certified,Category1,Trimble Local School District,1 Tomcat Dr,Glouster,45732,130072,7593494,School District,816,622,76.00%,Rural,"$40,046.40",Congressional District 15
201020861,2020,OH,Original,In Window,Certified,Category1,Grand Valley Local School District,"111 Grand Valley Avenue West, Ste A",Orwell,44076,129451,14138044,School District,1081,535,49.00%,Rural,$469.98,Congressional District 14
201011749,2020,OH,Original,In Window,Certified,Category1,Mansfield City School District,856 W. Cook Road,Mansfield,44907,129784,10615938,School District,3288,3182,97.00%,Urban,"$88,058.88",Congressional District 12
201003909,2020,OH,Original,In Window,Certified,Category1,Plymouth Local School District,365 Sandusky St,Plymouth,44865,129765,11578119,School District,687,391,57.00%,Rural,"$48,993.60",Congressional District 7
201021988,2020,OH,Original,In Window,Certified,Category1,Indian Creek Local Sch Dist,587 Bantam Ridge Road,Wintersville,43953,129388,11806833,School District,1999,1127,56.00%,Urban,"$43,209.60",Congressional District 6
201021833,2020,OH,Original,In Window,Certified,Category1,Bluffton Exempted Village School District,102 S Jackson St,Bluffton,45817,130108,2918365,School District,1180,211,18.00%,Rural,"$11,400.00",Congressional District 4
201021705,2020,OH,Original,In Window,Certified,Category1,New Lexington City School Dist,2549 Panther Drive,New Lexington,43764,129344,2995561,School District,1824,1370,75.00%,Rural,"$42,841.44",Congressional District 15
201021964,2020,OH,Original,In Window,Certified,Category1,Franklin Local School District,360 Cedar St,Duncan Falls,43734,129339,11972742,School District,1939,941,49.00%,Rural,"$62,854.85",Congressional District 12
201022118,2020,OH,Original,In Window,Certified,Category1,Oregon City School District,5721 Seaman St,Oregon,43616,129314,9946930,School District,3789,1643,43.00%,Urban,"$27,102.67",Congressional District 9
201022043,2020,OH,Original,In Window,Certified,Category1,Athens City School District,21 Birge Dr,Chauncey,45719,130090,12269429,School District,2552,919,36.00%,Urban,"$68,708.52",Congressional District 15
201022200,2020,OH,Original,In Window,Certified,Category1,South Euclid-Lyndhurst Dist,5044 Mayfield Rd,Cleveland,44124,129495,12071262,School District,3479,1922,55.00%,Urban,"$42,400.00",Congressional District 14
201021748,2020,OH,Original,In Window,Certified,Category1,New Lexington City School Dist,2549 Panther Drive,New Lexington,43764,129344,2995561,School District,1824,1370,75.00%,Rural,"$7,398.00",Congressional District 15
201003896,2020,OH,Original,In Window,Certified,Category1,North Union Local School Dist,12920 State Route 739,Richwood,43344,129214,12019857,School District,1556,559,36.00%,Rural,"$15,492.71",Congressional District 4
201021736,2020,OH,Original,In Window,Certified,Category1,Jefferson Co Supt Of Schools,2023 Sunset Blvd,Steubenville,43952,129384,11847902,School District,16,16,100.00%,Urban,"$10,562.40",Congressional District 6
201022398,2020,OH,Original,In Window,Certified,Category1,Waverly City School District,1 Tiger Drive,Waverly,45690,130059,2994796,School District,1901,1816,96.00%,Rural,"$31,050.00",Congressional District 2
201022012,2020,OH,Original,In Window,Certified,Category1,Ottawa Hills School District,3600 Indian Road,Toledo,43606,129312,11589132,School District,1022,7,1.00%,Urban,"$5,300.02",Congressional District 5
201021720,2020,OH,Original,In Window,Certified,Category1,Crestview Local School District,44100 Crestview Rd Ste A,Columbiana,44408,129587,12475380,School District,1229,423,34.00%,Rural,"$28,607.62",Congressional District 6
201007100,2020,OH,Original,In Window,Certified,Category1,Elyria City School District,42101 Griswold Rd,Elyria,44035,129418,13138417,School District,6204,3713,60.00%,Urban,"$150,125.76",Congressional District 4
201012246,2020,OH,Original,In Window,Certified,Category1,Meigs Local School District,41765 Pomeroy Pike,Pomeroy,45769,130084,3020625,School District,1722,1451,84.00%,Rural,"$40,046.40",Congressional District 6
201022811,2020,OH,Original,In Window,Certified,Category1,East Palestine City Sch Dist,200 West North Avenue,East Palestine,44413,129590,8982787,School District,997,510,51.00%,Urban,"$31,527.26",Congressional District 6
201022460,2020,OH,Original,In Window,Certified,Category1,Miller City-New Cleveland Dist,5400 Road 13 C,Miller City,45864,130140,11824901,School District,483,46,10.00%,Rural,"$5,400.00",Congressional District 5
201022587,2020,OH,Original,In Window,Certified,Category1,Westfall Local School District,19463 Pherson Pike,Williamsport,43164,129161,12192811,School District,1408,560,40.00%,Rural,"$19,110.00",Congressional District 15
201022551,2020,OH,Original,In Window,Certified,Category1,North Baltimore Local Sch Dist,201 So Main St,N Baltimore,45872,130147,13656038,School District,728,311,43.00%,Rural,"$15,960.00",Congressional District 5
201015553,2020,OH,Original,In Window,Certified,Category1,Felicity-Franklin School Dist,105 Market St,Felicity,45120,129836,14246243,School District,763,410,54.00%,Rural,"$19,459.20",Congressional District 2
201021672,2020,OH,Original,In Window,Certified,Category1,Mechanicsburg School District,60 High St,Mechanicsburg,43044,129083,11984143,School District,857,267,31.00%,Rural,"$12,514.46",Congressional District 4
201005075,2020,OH,Original,In Window,Certified,Category1,Fairfield City School District,4641 Bach Lane,Fairfield,45014,129806,13936927,School District,10091,4193,42.00%,Urban,"$81,928.80",Congressional District 8
201023188,2020,OH,Original,In Window,Certified,Category1,Chagrin Falls Exempted Vlg Sch,77 E Washington St,Chagrin Falls,44022,129408,13308960,School District,1910,75,4.00%,Urban,"$4,144.99",Congressional District 14
201014063,2020,OH,Original,In Window,Certified,Category1,Mcdonald Local School District,600 Iowa Ave,Mc Donald,44437,129609,12098018,School District,770,273,35.00%,Urban,"$14,997.60",Congressional District 13
201023219,2020,OH,Original,In Window,Certified,Category1,Jefferson Local School Dist,906 W Main St,West Jefferson,43162,129158,2995934,School District,1214,421,35.00%,Rural,"$39,270.00",Congressional District 15
201023127,2020,OH,Original,In Window,Certified,Category1,Avon Lake City School District,175 Avon Belden Rd,Avon Lake,44012,129403,2916641,School District,3882,371,10.00%,Urban,"$14,659.15",Congressional District 9
201012286,2020,OH,Original,In Window,Certified,Category1,Paulding Exempted Village School District,405 N Water St,Paulding,45879,130155,9606658,School District,1243,578,47.00%,Rural,"$27,577.20",Congressional District 5
201009865,2020,OH,Original,In Window,Certified,Category1,Zanesville City School Dist,956 Moxahala Avenue,Zanesville,43701,129321,6982508,School District,3102,2673,86.00%,Urban,"$67,052.12",Congressional District 12
201003679,2020,OH,Original,In Window,Certified,Category1,Benjamin Logan Local Sch Dist,4740 County Road 26,Bellefontaine,43311,129194,10830057,School District,1729,448,26.00%,Rural,"$27,799.20",Congressional District 4
201023751,2020,OH,Original,In Window,Certified,Category1,Arcadia Local School District,19033 State Route 12,Arcadia,44804,129712,2918696,School District,573,210,37.00%,Rural,"$12,127.75",Congressional District 5
201009458,2020,OH,Original,In Window,Certified,Category1,Upper Arlington School Dist,1950 N Mallway Dr,Columbus,43221,129180,2994911,School District,5770,98,2.00%,Urban,"$10,795.20",Congressional District 15
201009477,2020,OH,Original,In Window,Certified,Category1,Symmes Valley Local Sch Dist,14778 State Route 141,Willow Wood,45696,130066,21162987,School District,756,553,73.00%,Rural,"$24,480.00",Congressional District 6
201023236,2020,OH,Original,In Window,Certified,Category1,Mercer County Educational Service Center,441 East Market,Celina,45822,227365,13732748,School District,115,49,43.00%,Rural,"$7,560.00",Congressional District 5
201022908,2020,OH,Original,In Window,Certified,Category1,Fairborn City School District,306 E Whittier Ave,Fairborn,45324,129919,11909108,School District,4111,2484,60.00%,Urban,"$77,683.20",Congressional District 10
201021972,2020,OH,Original,In Window,Certified,Category1,Ridgemont Local School Dist,560 W Taylor St,Mount Victory,43340,129213,12020632,School District,586,193,33.00%,Rural,"$14,997.60",Congressional District 5
201003868,2020,OH,Original,In Window,Certified,Category1,Hilliard City School District,2140 Atlas Street,Columbus,43228,129074,2995421,School District,16520,3823,23.00%,Urban,"$212,957.46",Congressional District 3
201003989,2020,OH,Original,In Window,Certified,Category1,Urbana City School District,711 Wood St,Urbana,43078,129114,11847852,School District,1883,1150,61.00%,Rural,"$24,588.29",Congressional District 4
201015592,2020,OH,Original,In Window,Certified,Category1,Upper Valley Career Center,8811 Career Dr,Piqua,45356,129941,3017498,School District,1026,338,33.00%,Rural,"$11,456.64",Congressional District 8
201024122,2020,OH,Original,In Window,Certified,Category1,Joseph Badger Local Sch Dist,7119 State Route 7,Kinsman,44428,129598,15228448,School District,712,315,44.00%,Rural,"$23,049.60",Congressional District 14
201024096,2020,OH,Original,In Window,Certified,Category1,South Central Local Sch Dist,3305 Greenwich Angling Rd,Greenwich,44837,129743,4843199,School District,711,332,47.00%,Rural,"$21,924.00",Congressional District 7
201010844,2020,OH,Original,In Window,Certified,Category1,Whitehall City School District,625 S Yearling Rd,Whitehall,43213,129171,25798463,School District,3216,2762,86.00%,Urban,"$32,907.60",Congressional District 3
201003991,2020,OH,Original,In Window,Certified,Category1,Wellston City School District,1 E. Broadway Street,Wellston,45692,130060,4169520,School District,1273,1273,100.00%,Rural,"$31,233.38",Congressional District 6
201009018,2020,OH,Original,In Window,Certified,Category1,East Clinton Local School Dist,97 Astro Way,Sabina,45169,129850,30026184,School District,1274,615,48.00%,Rural,"$30,055.20",Congressional District 15
201024244,2020,OH,Original,In Window,Certified,Category1,St Clairsville  School District,108  Woodrow Ave,St Clairsville,43950,209155,2921013,School District,1638,424,26.00%,Urban,"$23,154.00",Congressional District 6
201024874,2020,OH,Original,In Window,Certified,Category1,Buckeye Local School District,6899 State Hwy 150,Dillonvale,43917,129375,2938918,School District,1434,756,53.00%,Rural,"$53,618.40",Congressional District 6
201021999,2020,OH,Original,In Window,Certified,Category1,Lucas Local Schools,84 Lucas North Rd,Lucas,44843,129749,2913671,School District,551,147,27.00%,Rural,"$24,577.20",Congressional District 7
201023789,2020,OH,Original,In Window,Certified,Category1,Ontario Local School District,457 Shelby- Ontario Road,Ontario,44906,129790,10249654,School District,1909,759,40.00%,Urban,"$48,852.00",Congressional District 7
201025425,2020,OH,Original,In Window,Certified,Category1,North Royalton City Sch Dist,6579 Royalton Rd,North Royalton,44133,129505,2923688,School District,3998,530,13.00%,Urban,"$26,024.00",Congressional District 16
201046438,2020,OH,Original,In Window,Certified,Category1,Three Rivers School District,401 N Miami Ave,Cleves,45002,129793,2993657,School District,2248,743,33.00%,Rural,"$13,856.26",Congressional District 1
201025089,2020,OH,Original,In Window,Certified,Category1,Cleveland Municipal School District,"1111 Superior Avenue, E Suite 1800",Cleveland,44114,129482,12671517,School District,34339,34339,100.00%,Urban,"$989,819.14",Congressional District 11
201045512,2020,OH,Original,In Window,Certified,Category1,River Valley School District,197 Brocklesby Road,Caledonia,43314,129186,2994002,School District,1870,742,40.00%,Rural,"$16,054.50",Congressional District 12
201025735,2020,OH,Original,In Window,Certified,Category1,Coventry Local School District,3257 Cormany Road,Akron,44319,129574,2915262,School District,1834,771,42.00%,Urban,"$37,296.00",Congressional District 13
201020810,2020,OH,Original,In Window,Certified,Category1,Tri County North School Dist,436 N Commerce St,Lewisburg,45338,129931,5302708,School District,815,265,33.00%,Rural,"$16,516.80",Congressional District 8
201020029,2020,OH,Original,In Window,Certified,Category1,Elmwood Local School District,7650 Jerry City Rd,Bloomdale,44817,129728,14193114,School District,1119,350,31.00%,Rural,"$21,312.00",Congressional District 5
201025552,2020,OH,Original,In Window,Certified,Category1,Beaver Local School District,46090 Bell School Rd.,East Liverpool,43920,129606,11930385,School District,1879,825,44.00%,Rural,"$49,554.12",Congressional District 6
201019679,2020,OH,Original,In Window,Certified,Category1,Minerva Local School District,406 East Street,Minerva,44657,129677,11813763,School District,1983,1002,51.00%,Rural,"$13,377.60",Congressional District 7
201007047,2020,OH,Original,In Window,Certified,Category1,Avon Local School District,36600 Detroit Road,Avon,44011,129402,12508271,School District,4650,480,10.00%,Urban,"$47,736.77",Congressional District 7
201026007,2020,OH,Original,In Window,Certified,Category1,Springfield Local School Dist,2410 Massillon Road,Akron,44312,129573,2922458,School District,2517,1268,50.00%,Urban,"$65,472.00",Congressional District 16
201022070,2020,OH,Original,In Window,Certified,Category1,Avon Local School District,36600 Detroit Road,Avon,44011,129402,12508271,School District,4650,480,10.00%,Urban,"$56,044.42",Congressional District 7
201025908,2020,OH,Original,In Window,Certified,Category1,Jefferson County J V S D,1509 County Road 22a,Bloomingdale,43910,129368,2912152,School District,327,180,55.00%,Rural,"$39,532.80",Congressional District 6
