Code,StationName,Staffed,StationType,City,State,Zip,Country,Division,PublicPhone,TicketOffice,QuikTrak,MetrolinkTVM,CheckedBaggage,AmtrakExpress,HandleUSMail,Lounge,UnaccompaniedChildren,AdvPayPPO,AmtrakTrains,Non-AmtrakTrains,DedicatedThruway,CoordinatedThruway,OtherTransportation,GroupCity,IATACode,IATAName,NonAmtrakTicketSale,TimeZone,ObserveDayLightSaving,CheckInWService,CheckInWOService,Elevation,Population
FLN,"Flint, Michigan",Y,Station Building (with waiting room),Flint,MI,48503-2878,United States,Central,810-234-2659,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,,,,Via Rail Canada,E,Y,30,30,759,430700
FLO,"Florence, South Carolina",Y,Station Building (with waiting room),Florence,SC,29506,United States,Southern,843-665-7650,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,E,Y,60,30,142,65000
FMD,"Fort Madison, Iowa",Y,Station Building (with waiting room),Fort Madison,IA,52627,United States,Central,319-372-3142,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,VIA Rail Canada,C,Y,60,30,523,10916
FMG,"Fort Morgan, Colorado",N,Station Building (with waiting room),Fort Morgan,CO,80701,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,M,Y,30,30,4331,11000
FMT,"Fremont (Capitol Trains), California",N,Station Building (with waiting room),Fremont,CA,94536,United States,Pacific,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,FRX,,,,P,Y,30,30,58,201961
FNO,"Fresno, California",Y,Station Building (with waiting room),Fresno,CA,93721-1325,United States,Pacific,559-486-7651,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,N,N,,,,Via Rail Canada,P,Y,45,30,295,466714
FOX,"Foxwoods Casino, Connecticut",N,Curbside Bus Stop only (no shelter),Ledyard,CT,06339-1128,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,E,Y,30,30,190,
FRA,"Framingham, Massachusetts",N,Platform with Shelter,Framingham,MA,01702-6948,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,,,,,E,Y,30,30,165,35000
FRC,"Frederick (Transit Center), Maryland",N,Station Building (with waiting room),Frederick,MD,21704,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,Y,,Y,,FDX,,,MARC,E,Y,15,15,279,60000
FRO,"Florence, Oregon",N,Curbside Bus Stop only (no shelter),Florence,OR,97439,United States,Pacific Northwest,541-902-9076,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,P,Y,30,30,16,8122
FRR,"Frederick (Airport), Maryland",N,Curbside Bus Stop only (no shelter),Frederick,MD,21705,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,FDX,,,,E,Y,15,15,299,60000
FRT,"Fremont (San Joaquin Buses), California",N,Curbside Bus Stop only (no shelter),Fremont,CA,94538,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,FRX,,,,P,Y,30,30,264,162800
FSB,"Frostburg, Maryland",N,Curbside Bus Stop only (no shelter),Frostburg,MD,21532,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,Y,15,15,1939,
FSC,"Frisco, Colorado",N,Curbside Bus Stop only (no shelter),Frisco,CO,80443,United States,Central,970-668-8917,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,M,Y,30,30,9070,2500
FTA,"Fortuna, California",N,Curbside Bus Stop only (no shelter),Fortuna,CA,95540,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,P,Y,30,30,71,63300
FTC,"Ticonderoga, New York",N,Platform with Shelter,Ticonderoga,NY,12883,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,117,2100
FTL,"Fort Lauderdale, Florida",Y,Station Building (with waiting room),Fort Lauderdale,FL,33312,United States,Southern,954-587-6692,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,,,,Via Rail Canada,E,Y,60,30,4,152397
FTM,"Fort Myers, Florida",N,Curbside Bus Stop only (no shelter),Fort Myers,FL,33906-4419,United States,Southern,000-000-0000,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,,,,,E,Y,30,30,18,60531
FTN,"Fulton, Kentucky",N,Station Building (with waiting room),Fulton,KY,42041,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,420,2775
FTW,"Fort Worth, Texas",Y,Station Building (with waiting room),Fort Worth,TX,76102,United States,Southwest,817-332-2931,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,,,,Via Rail Canada,C,Y,60,30,601,703073
FUL,"Fullerton, California",Y,Station Building (with waiting room),Fullerton,CA,92832,United States,Southwest,714-992-0530,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,,,,Via Rail Canada,P,Y,60,30,162,114000
GAC,"Santa Clara (Great America), California",N,Platform only (no shelter),Santa Clara,CA,95054,United States,Pacific,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,,,,,P,Y,30,30,13,108518
GAI,"Gaithersburg, Maryland",,Pseudo Station,Gaithersburg,MD,20877,United States,MARC,800-325-RAIL,,Y,,,,,,,,,,,,,,,,,E,Y,,,,
GAS,"Gastonia, North Carolina",N,Station Building (with waiting room),Gastonia,NC,28054,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,819,69904
GBB,"Galesburg, Illinois",Y,Station Building (with waiting room),Galesburg,IL,61401,United States,Central,309-342-8993,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,,,,,Via Rail Canada,C,Y,60,30,780,31738
GBC,"Garibaldi Highlands, British Columbia",N,Curbside Bus Stop only (no shelter),Garibaldi Highlands,BC,V0N 1T0,Canada,Pacific,800-898-3914,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Greyhound Canada,P,Y,30,30,49,5966
GBT,"Greenbelt, Maryland",,Pseudo Station,Greenbelt,MD,20770,,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,,
GBV,"Garberville, California",N,Curbside Bus Stop only (no shelter),Garberville,CA,95542,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,P,Y,30,30,556,1200
GBY,"Green Bay, Wisconsin",N,Station Building (with waiting room),Green Bay,WI,54301,United States,Central,920-432-4883,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,,,,,C,Y,30,30,590,100353
GCA,Group Car Attendant,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GCB,"Grand Canyon National Park (Buses), Arizona",N,Curbside Bus Stop only (no shelter),Grand Canyon National Park,AZ,86023,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,GCX,,,,M,N,30,30,6848,1460
GCK,"Garden City, Kansas",Y,Station Building (with waiting room),Garden City,KS,67846,United States,Southwest,620-275-9533,Y,N,N,N,N,N,N,N,Y,Y,,,,,,,,,C,Y,30,15,2835,26665
GCN,"Grand Canyon National Park (Railway), Arizona",N,Station Building (with waiting room),Grand Canyon National Park,AZ,86023,United States,Southwest,800-843-8724,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,GCX,,,,M,N,30,30,6882,1460
GDL,"Glendale, California",N,Platform with Shelter,Glendale,CA,91204,United States,Southwest,000-000-0000,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,,,,,P,Y,30,30,434,155000
GEM,"Germantown, Maryland",,Pseudo Station,Germantown,MD,20875,United States,MARC,800-325-RAIL,,Y,,,,,,,,,,,,,,,,,E,Y,,,,
GFK,"Grand Forks, North Dakota",Y,Station Building (with waiting room),Grand Forks,ND,58201,United States,Central,701-775-0484,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,,,,,Via Rail Canada,C,Y,60,30,836,51313
GFV,"Greenfield Village, Michigan",N,Platform with Shelter,Dearborn,MI,48216,United States,Central,800-872-1477,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,No,E,Y,30,30,598,
GGW,"Glasgow, Montana",N,Station Building (with waiting room),Glasgow,MT,59230-2396,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,M,Y,30,30,2092,3523
GHL,"Gold Hill, Oregon",N,Curbside Bus Stop only (no shelter),Gold Hill,OR,97525,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,N,Y,,,,,,P,Y,15,15,1087,
GHT,"Gearhart, Oregon",N,Curbside Bus Stop only (no shelter),Gearhart,OR,97301,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,From Bus Driver,P,Y,30,30,42,995
GIF,Gift Certificate,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GJT,"Grand Junction, Colorado",Y,Station Building (with waiting room),Grand Junction,CO,81501-2207,United States,Pacific,970-241-2733,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,M,Y,60,30,4578,45000
GLE,"Gainesville, Texas",N,Station Building (with waiting room),Gainesville,TX,76240,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,735,16452
GLF,Golf Bag,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GLM,"Gilman, Illinois",N,Platform with Shelter,Gilman,IL,60983,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,,C,Y,30,30,654,1913
GLN,"Glenview, Illinois",Y,Station Building (with waiting room),Glenview,IL,60025,United States,Central,847-724-2530,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,,,,Via Rail Canada,C,Y,60,30,631,46321
GLP,"Gallup, New Mexico",N,Station Building (with waiting room),Gallup,NM,87301,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,N/A,M,Y,30,30,6509,19000
GLS,"Galveston (Texas Eagle Bus), Texas",N,Curbside Bus Stop only (no shelter),Galveston,TX,77550,United States,Southwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,GLX,,,,C,Y,30,30,6,64519
GLV,"Galveston (Sunset Limited Bus), Texas",N,Station Building (with waiting room),Galveston,TX,77550-3819,United States,Southwest,409-765-7731,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,GLX,,,,C,Y,30,30,8,
GLY,"Gilroy, California",N,Curbside Bus Stop only (no shelter),Gilroy,CA,95020,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,,,,,,P,Y,30,30,198,21641
GMS,"Grimsby, Ontario",N,Platform with Shelter,Grimsby,ON,L3M 3H6,Canada,VIA Rail Canada Inc.,888-842-7245,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,XGY,VIAnet:  GRIM,,E,Y,30,30,282,157983
GNB,"Greensburg, Pennsylvania",N,Platform with Shelter,Greensburg,PA,15601,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,1097,15870
GNF,"Gainesville, Florida",N,Curbside Bus Stop only (no shelter),Gainesville,FL,32601,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,E,Y,30,30,175,95447
GNS,"Gainesville, Georgia",N,Station Building (with waiting room),Gainesville,GA,30501,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,E,Y,30,30,1206,33340
GPB,Group Breakfast,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GPD,Group Dinner,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GPF,Group FedEx TBM,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GPI,Kids Trains and Meal,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GPK,"East Glacier Park, Montana",Y,Station Building (with waiting room),East Glacier Park,MT,59434,United States,Pacific Northwest,406-226-4452,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,,,,,VIA Rail Canada,M,Y,60,30,4806,396
GPL,Group Lunch,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GPM,"Garrett Park, Maryland",,Pseudo Station,Garrett Park,MD,20852,United States,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,,
GPS,Group Special Meal,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GRA,"Granby, Colorado",N,Platform only (no shelter),Granby,CO,80446,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,M,Y,30,30,7963,963
GRI,"Green River, Utah",N,Platform only (no shelter),Green River,UT,84525,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,M,Y,30,30,4089,1500
GRO,"Greensboro, North Carolina",Y,Station Building (with waiting room),Greensboro,NC,27401-2704,United States,Southern,336-272-6755,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,,,,Via Rail Canada,E,Y,60,45,317,236865
GRR,"Grand Rapids, Michigan",N,Station Building (with waiting room),Grand Rapids,MI,49503-4061,United States,Central,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,611,193083
GRU,Group,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
GRV,"Greenville, South Carolina",Y,Station Building (with waiting room),Greenville,SC,29601,United States,Southern,864-255-4221,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,E,Y,60,30,962,57428
GSC,"Glenwood Springs, Colorado",Y,Station Building (with waiting room),Glenwood Springs,CO,81601,United States,Central,970-945-9563,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,,,,Via Rail Canada,M,Y,60,30,5755,7700
GSN,"Goshen Junction, California",N,Curbside Bus Stop only (no shelter),Goshen,CA,93227,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,,,,,P,Y,30,30,284,24400
GTA,"Goleta, California",N,Platform with Shelter,Goleta,CA,93117,United States,Southwest,000-000-0000,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,,,,,P,Y,30,30,42,66000
GTP,"Grants Pass, Oregon",N,Station Building (with waiting room),Grants Pass,OR,97526,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,,,,,P,Y,15,15,975,20000
GTV,"Grantsville, Maryland",N,Curbside Bus Stop only (no shelter),Grantsville,MD,21536,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,Y,15,15,2693,
GUA,"Guadalupe-Santa Maria, California",N,Station Building (with waiting room),Guadalupe,CA,93434,United States,Southwest,000-000-0000,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,SGX,,,,P,Y,30,30,85,5575
GUI,"Guilford, Connecticut",,Pseudo Station,Guilford,CT,06437,United States,Shore Line East,203-777-7433,,N,,,,,,,,,,,,,,,,,E,Y,,,,
GUT,"Guthrie, Oklahoma",N,Platform only (no shelter),Guthrie,OK,73044-3150,United States,Central,000-000-0000,N,N,,N,N,N,N,N,Y,Y,,,,,,,,,C,Y,15,15,946,
GVB,"Grover Beach, California",N,Platform with Shelter,Grover Beach,CA,93433-1968,United States,Southwest,800-USA-RAIL,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,,,,,P,Y,30,30,16,12500
GVI,"Grangeville, Idaho",N,Curbside Bus Stop only (no shelter),Grangeville,ID,83530,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Bus tickets only,P,Y,30,30,3381,3200
GWD,"Greenwood, Mississippi",N,Station Building (with waiting room),Greenwood,MS,38930,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,133,17590
HAE,"Halethorpe, Maryland",,Pseudo Station,Baltimore,MD,21227,United States,MARC,800-325-RAIL,,Y,,,,,,,,,,,,,,,,,E,Y,,,,
HAG,"Hagerstown, Maryland",N,Curbside Bus Stop only (no shelter),Hagerstown,MD,21740-1414,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,E,Y,15,15,510,
HAM,"Hamlet, North Carolina",N,Station Building (with waiting room),Hamlet,NC,28345,United States,Southern,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,310,6900
HAR,"Harrisburg, Pennsylvania",Y,Station Building (with waiting room),Harrisburg,PA,17101,United States,Mid-Atlantic,717-232-3331,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,,,,,Via Rail Canada,E,Y,60,30,320,47164
HAS,"Hastings, Nebraska",Y,Station Building (with waiting room),Hastings,NE,68901,United States,Central,402-462-5703,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,,,,Via Rail Canada,C,Y,60,30,1927,24000
HAV,"Havre, Montana",Y,Station Building (with waiting room),Havre,MT,59501-3599,United States,Pacific Northwest,406-265-5381,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,M,Y,60,30,2487,9621
HAY,"Hayward, California",N,Platform with Shelter,Hayward,CA,94541,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,,,,,P,Y,30,30,74,140606
HAZ,"Hazlehurst, Mississippi",N,Platform with Shelter,Hazlehurst,MS,39083,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,466,4374
HBG,"Hattiesburg, Mississippi",N,Station Building (with waiting room),Hattiesburg,MS,39401,United States,Southern,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,Y,,,,,C,Y,30,30,161,48012
HDS,"Hudson, Wisconsin",N,Curbside Bus Stop only (no shelter),Hudson,WI,54016,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,C,Y,15,15,860,
HEA,"Healdsburg, California",N,Curbside Bus Stop only (no shelter),Healdsburg,CA,95448-4000,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,P,Y,30,30,100,7217
HEM,"Hermann, Missouri",N,Platform with Shelter,Hermann,MO,65041,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,514,2751
HER,"Helper, Utah",N,Station Building (with waiting room),Helper,UT,84526,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,M,Y,30,30,5825,3200
HET,"Hemet (West Florida Ave), California",N,Curbside Bus Stop only (no shelter),Hemet,CA,92545-3622,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,HTX,,,,P,Y,30,30,1530,70136
HFD,"Hartford, Connecticut",Y,Station Building (with waiting room),Hartford,CT,06103,United States,Northeast,860-727-1776,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,,,,Via Rail Canada,E,Y,45,30,64,121800
HFY,"Harpers Ferry, West Virginia",N,Platform with Shelter,Harpers Ferry,WV,25425,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,,E,Y,30,30,293,2000
HGD,"Huntingdon, Pennsylvania",N,Station Building (with waiting room),Huntingdon,PA,16652,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,,E,Y,30,30,620,7000
HGH,"Houghton, Michigan",N,Curbside Bus Stop only (no shelter),Houghton,MI,49931,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,E,Y,15,15,694,7014
HHL,"Haverhill, Massachusetts",N,Platform with Shelter,Haverhill,MA,01832-5418,United States,Northeast,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,,E,Y,30,30,45,60176
HIN,"Hinton, West Virginia",N,Station Building (with waiting room),Hinton,WV,25951,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,1384,2651
HKL,"Hinckley, Minnesota",N,Curbside Bus Stop only (no shelter),Hinckley,MN,55037,United States,Central,320-384-6174,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,,,,,No,C,Y,30,30,1030,1432
HKM,"Hancock, Michigan",N,Curbside Bus Stop only (no shelter),Hancock,MI,49930,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,Y,15,15,695,
HLD,"Holdrege, Nebraska",N,Station Building (with waiting room),Holdrege,NE,68949,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,2328,6000
HMD,"Hammond, Louisiana",Y,Station Building (with waiting room),Hammond,LA,70401,United States,Southern,985-345-6264,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,C,Y,60,30,44,19134
HMI,"Hammond-Whiting, Indiana",N,Station Building (with waiting room),Hammond,IN,46320-1044,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,C,Y,30,30,588,100000
HMT,"Hemet (Devonshire Ave), California",N,Curbside Bus Stop only (no shelter),Hemet,CA,92543-2905,United States,Southwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,HTX,,,,P,Y,30,30,1596,70136
HMW,"Homewood, Illinois",Y,Station Building (with waiting room),Homewood,IL,60430,United States,Central,708-957-0850,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,C,Y,60,30,656,18700
HNF,"Hanford, California",Y,Station Building (with waiting room),Hanford,CA,93230-4554,United States,Pacific,559-582-5236,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,N,Y,,,,Via Rail Canada,P,Y,45,30,248,44100
HNK,"Hancock, Maryland",N,Curbside Bus Stop only (no shelter),Hancock,MD,21750,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,Y,15,15,437,
HOL,"Hollywood, Florida",Y,Station Building (with waiting room),Hollywood,FL,33021,United States,Southern,954-921-4517,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,,,,Via Rail Canada,E,Y,60,30,5,145800
HOM,"Holland, Michigan",N,Station Building (with waiting room),Holland,MI,49423,United States,Central,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,609,34245
HOO,"Hood River, Oregon",N,Curbside Bus Stop only (no shelter),Hood River,OR,97031,United States,Pacific Northwest,541-386-1212,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,P,Y,30,30,121,5000
HOS,"Houston, Texas",Y,Station Building (with waiting room),Houston,TX,77002,United States,Southwest,713-224-1577,Y,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,,,,Via Rail Canada,C,Y,60,30,43,2144491
HPT,"High Point, North Carolina",N,Station Building (with waiting room),High Point,NC,27260,United States,Southern,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,,,,,,E,Y,45,45,921,97796
HTN,"Hammonton, New Jersey",N,Platform with Shelter,Hammonton,NJ,08037,United States,Northeast,973-275-5555,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,,,,,E,Y,30,30,98,13500
HUD,"Hudson, New York",Y,Station Building (with waiting room),Hudson,NY,12534,United States,Northeast,518-828-3379,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,E,Y,45,30,7,35000
HUN,"Huntington, West Virginia",Y,Station Building (with waiting room),Huntington,WV,25701,United States,Mid-Atlantic,304-523-7721,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,E,Y,45,30,570,49007
HUT,"Hutchinson, Kansas",N,Station Building (with waiting room),Hutchinson,KS,67501,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,1530,42080
HWC,"Howard City, Michigan",N,Curbside Bus Stop only (no shelter),Howard City,MI,49329,United States,Central,800-231-2222,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,E,Y,30,30,878,1351
IDO,"Indio, California",N,Curbside Bus Stop only (no shelter),Indio,CA,92201-3917,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,P,Y,30,30,3,36000
IDP,"Independence, Missouri",N,Station Building (with waiting room),Independence,MO,64050-3564,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,951,120000
IND,"Indianapolis, Indiana",Y,Station Building (with waiting room),Indianapolis,IN,46225-1198,United States,Central,317-263-0550,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,,,,Via Rail Canada,E,Y,60,30,706,733271
IRV,"Irvine, California",Y,Station Building (with waiting room),Irvine,CA,92618,United States,Southwest,949-753-9713,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,,,,Via Rail Canada,P,Y,30,30,265,50000
ISE,"Isleton, California",N,Curbside Bus Stop only (no shelter),Isleton,CA,95641,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,P,Y,15,15,6,
JAN,"Jackson, Mississippi",Y,Station Building (with waiting room),Jackson,MS,39201,United States,Southern,601-355-6350,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,,,,Via Rail Canada,C,Y,60,30,288,176614
JAX,"Jacksonville, Florida",Y,Station Building (with waiting room),Jacksonville,FL,32209-2123,United States,Southern,904-766-5110,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,,,,Via Rail Canada,E,Y,60,30,19,794555
JEF,"Jefferson City, Missouri",N,Station Building (with waiting room),Jefferson City,MO,65101,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,558,39274
JES,"Jessup, Maryland",,Pseudo Station,Jessup,MD,20794,United States,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,,
JMN,"Jamestown, New York",N,Curbside Bus Stop only (no shelter),Jamestown,NY,14701,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,,,,Coach USA Erie,E,Y,30,30,1367,
JNL,"June Lake, California",N,Curbside Bus Stop only (no shelter),June Lake,CA,95529,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,P,Y,15,15,7547,
JOL,"Joliet, Illinois",Y,Station Building (with waiting room),Joliet,IL,60431,United States,Central,815-727-9279,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,,,,,VIA Rail Canada,C,Y,60,30,540,142702
